Region,date,total_lyme
Northeast,2008-10-01,1168
Northeast,2008-11-01,742
Northeast,2008-12-01,396
Northeast,2009-01-01,363
Northeast,2009-02-01,338
Northeast,2009-03-01,476
Northeast,2009-04-01,694
Northeast,2009-05-01,1708
Northeast,2009-06-01,5752
Northeast,2009-07-01,5851
Northeast,2009-08-01,2392
Northeast,2009-09-01,1147
Northeast,2009-10-01,972
Northeast,2009-11-01,727
Northeast,2009-12-01,421
Northeast,2010-01-01,373
Northeast,2010-02-01,308
Northeast,2010-03-01,518
Northeast,2010-04-01,848
Northeast,2010-05-01,1449
Northeast,2010-06-01,3726
Northeast,2010-07-01,2528
Northeast,2010-08-01,1359
Northeast,2010-09-01,913
Northeast,2010-10-01,818
Northeast,2010-11-01,552
Northeast,2010-12-01,293
Northeast,2011-01-01,298
Northeast,2011-02-01,330
Northeast,2011-03-01,404
Northeast,2011-04-01,556
Northeast,2011-05-01,1423
Northeast,2011-06-01,4483
Northeast,2011-07-01,3994
Northeast,2011-08-01,1503
Northeast,2011-09-01,905
Northeast,2011-10-01,929
Northeast,2011-11-01,676
Northeast,2011-12-01,442
Northeast,2012-01-01,546
Northeast,2012-02-01,457
Northeast,2012-03-01,660
Northeast,2012-04-01,891
Northeast,2012-05-01,1627
Northeast,2012-06-01,4021
Northeast,2012-07-01,3497
Northeast,2012-08-01,1582
Northeast,2012-09-01,1027
Northeast,2012-10-01,993
Northeast,2012-11-01,728
Northeast,2012-12-01,417
Northeast,2013-01-01,401
Northeast,2013-02-01,325
Northeast,2013-03-01,341
Northeast,2013-04-01,516
Northeast,2013-05-01,1195
Northeast,2013-06-01,4995
Northeast,2013-07-01,6206
Northeast,2013-08-01,2432
Northeast,2013-09-01,1300
Northeast,2013-10-01,1115
Northeast,2013-11-01,620
Northeast,2013-12-01,310
Northeast,2014-01-01,456
Northeast,2014-02-01,304
Northeast,2014-03-01,426
Northeast,2014-04-01,605
Northeast,2014-05-01,1460
Northeast,2014-06-01,4848
Northeast,2014-07-01,5321
Northeast,2014-08-01,2278
Northeast,2014-09-01,1164
Northeast,2014-10-01,1036
Northeast,2014-11-01,683
Northeast,2014-12-01,335
Northeast,2015-01-01,340
Northeast,2015-02-01,306
Northeast,2015-03-01,354
Northeast,2015-04-01,580
Northeast,2015-05-01,1314
Northeast,2015-06-01,5262
Northeast,2015-07-01,5719
Northeast,2015-08-01,2151
Northeast,2015-09-01,1160
Northeast,2015-10-01,984
Northeast,2015-11-01,706
Northeast,2015-12-01,418
Northeast,2016-01-01,404
Northeast,2016-02-01,375
Northeast,2016-03-01,532
Northeast,2016-04-01,623
Northeast,2016-05-01,1444
Northeast,2016-06-01,4451
Northeast,2016-07-01,4241
Northeast,2016-08-01,1810
Northeast,2016-09-01,1074
Northeast,2016-10-01,1011
Northeast,2016-11-01,793
Northeast,2016-12-01,443
Northeast,2017-01-01,529
Northeast,2017-02-01,437
Northeast,2017-03-01,571
Northeast,2017-04-01,827
Northeast,2017-05-01,1876
Northeast,2017-06-01,4867
Northeast,2017-07-01,5122
Northeast,2017-08-01,2212
Northeast,2017-09-01,1127
Northeast,2017-10-01,1059
Northeast,2017-11-01,774
Northeast,2017-12-01,451
Southeast,2004-01-01,23
Southeast,2004-02-01,22
Southeast,2004-03-01,42
Southeast,2004-04-01,54
Southeast,2004-05-01,131
Southeast,2004-06-01,220
Southeast,2004-07-01,138
Southeast,2004-08-01,82
Southeast,2004-09-01,79
Southeast,2004-10-01,83
Southeast,2004-11-01,54
Southeast,2004-12-01,40
Southeast,2005-01-01,46
Southeast,2005-02-01,36
Southeast,2005-03-01,40
Southeast,2005-04-01,53
Southeast,2005-05-01,114
Southeast,2005-06-01,356
Southeast,2005-07-01,339
Southeast,2005-08-01,116
Southeast,2005-09-01,60
Southeast,2005-10-01,57
Southeast,2005-11-01,41
Southeast,2005-12-01,38
Southeast,2006-01-01,38
Southeast,2006-02-01,18
Southeast,2006-03-01,30
Southeast,2006-04-01,36
Southeast,2006-05-01,154
Southeast,2006-06-01,391
Southeast,2006-07-01,269
Southeast,2006-08-01,80
Southeast,2006-09-01,95
Southeast,2006-10-01,67
Southeast,2006-11-01,36
Southeast,2006-12-01,19
Southeast,2007-01-01,50
Southeast,2007-02-01,45
Southeast,2007-03-01,70
Southeast,2007-04-01,110
Southeast,2007-05-01,318
Southeast,2007-06-01,750
Southeast,2007-07-01,584
Southeast,2007-08-01,272
Southeast,2007-09-01,197
Southeast,2007-10-01,168
Southeast,2007-11-01,95
Southeast,2007-12-01,51
Southeast,2008-01-01,57
Southeast,2008-02-01,57
Southeast,2008-03-01,90
Southeast,2008-04-01,146
Southeast,2008-05-01,348
Southeast,2008-06-01,684
Southeast,2008-07-01,477
Southeast,2008-08-01,228
Southeast,2008-09-01,171
Southeast,2008-10-01,188
Southeast,2008-11-01,115
Southeast,2008-12-01,49
Southeast,2009-01-01,67
Southeast,2009-02-01,82
Southeast,2009-03-01,77
Southeast,2009-04-01,163
Southeast,2009-05-01,344
Southeast,2009-06-01,639
Southeast,2009-07-01,494
Southeast,2009-08-01,269
Southeast,2009-09-01,169
Southeast,2009-10-01,141
Southeast,2009-11-01,86
Southeast,2009-12-01,61
Southeast,2010-01-01,89
Southeast,2010-02-01,68
Southeast,2010-03-01,117
Southeast,2010-04-01,147
Southeast,2010-05-01,327
Southeast,2010-06-01,704
Southeast,2010-07-01,438
Southeast,2010-08-01,187
Southeast,2010-09-01,150
Southeast,2010-10-01,158
Southeast,2010-11-01,90
Southeast,2010-12-01,63
Southeast,2011-01-01,68
Southeast,2011-02-01,47
Southeast,2011-03-01,68
Southeast,2011-04-01,97
Southeast,2011-05-01,250
Southeast,2011-06-01,555
Southeast,2011-07-01,359
Southeast,2011-08-01,169
Southeast,2011-09-01,170
Southeast,2011-10-01,147
Southeast,2011-11-01,110
Southeast,2011-12-01,67
Southeast,2012-01-01,86
